F, [2015-04-07T21:26:50.987294 #25721] FATAL -- default-centos65: The `berkshelf' gem is missing and must be installed or cannot be properly activated. Run `gem install berkshelf` or add the following to your Gemfile if you are using Bundler: `gem 'berkshelf'`.
I, [2015-04-07T21:44:17.481366 #34862]  INFO -- default-centos65:   - apache-test
I, [2015-04-07T21:44:17.481500 #34862]  INFO -- default-centos65: Compiling Cookbooks...
I, [2015-04-07T21:44:17.481583 #34862]  INFO -- default-centos65: Converging 0 resources
I, [2015-04-07T21:44:17.513525 #34862]  INFO -- default-centos65: 
I, [2015-04-07T21:44:17.513625 #34862]  INFO -- default-centos65: Running handlers:
I, [2015-04-07T21:44:17.513673 #34862]  INFO -- default-centos65: Running handlers complete
I, [2015-04-07T21:44:17.513717 #34862]  INFO -- default-centos65: Chef Client finished, 0/0 resources updated in 1.70510259 seconds
I, [2015-04-07T21:44:17.663024 #34862]  INFO -- default-centos65: Finished converging <default-centos65> (1m32.25s).
I, [2015-04-07T21:45:00.992440 #35827]  INFO -- default-centos65: -----> Converging <default-centos65>...
I, [2015-04-07T21:45:00.993105 #35827]  INFO -- default-centos65: Preparing files for transfer
I, [2015-04-07T21:45:00.993197 #35827]  INFO -- default-centos65: Preparing dna.json
I, [2015-04-07T21:45:00.993700 #35827]  INFO -- default-centos65: Resolving cookbook dependencies with Berkshelf 3.2.3...
I, [2015-04-07T21:45:01.087757 #35827]  INFO -- default-centos65: Removing non-cookbook files before transfer
I, [2015-04-07T21:45:01.091197 #35827]  INFO -- default-centos65: Preparing validation.pem
I, [2015-04-07T21:45:01.092027 #35827]  INFO -- default-centos65: Preparing client.rb
I, [2015-04-07T21:45:01.142038 #35827]  INFO -- default-centos65: -----> Chef Omnibus installation detected (install only if missing)
I, [2015-04-07T21:45:01.164854 #35827]  INFO -- default-centos65: Transferring files to <default-centos65>
I, [2015-04-07T21:45:02.238656 #35827]  INFO -- default-centos65: Starting Chef Client, version 12.2.1
I, [2015-04-07T21:45:03.407962 #35827]  INFO -- default-centos65: [2015-04-07T19:45:01+00:00] WARN: Child with name 'dna.json' found in multiple directories: /tmp/kitchen/dna.json and /tmp/kitchen/dna.json
I, [2015-04-07T21:45:03.439720 #35827]  INFO -- default-centos65: resolving cookbooks for run list: ["apache-test::default"]
I, [2015-04-07T21:45:03.470902 #35827]  INFO -- default-centos65: Synchronizing Cookbooks:
I, [2015-04-07T21:45:03.474346 #35827]  INFO -- default-centos65:   - apache-test
I, [2015-04-07T21:45:03.474413 #35827]  INFO -- default-centos65: Compiling Cookbooks...
I, [2015-04-07T21:45:03.474442 #35827]  INFO -- default-centos65: Converging 0 resources
I, [2015-04-07T21:45:03.498268 #35827]  INFO -- default-centos65: 
I, [2015-04-07T21:45:03.498369 #35827]  INFO -- default-centos65: Running handlers:
I, [2015-04-07T21:45:03.498397 #35827]  INFO -- default-centos65: Running handlers complete
I, [2015-04-07T21:45:03.498422 #35827]  INFO -- default-centos65: Chef Client finished, 0/0 resources updated in 1.26609214 seconds
I, [2015-04-07T21:45:05.531932 #35827]  INFO -- default-centos65: Finished converging <default-centos65> (0m4.54s).
I, [2015-04-07T21:53:38.514765 #38164]  INFO -- default-centos65: -----> Converging <default-centos65>...
I, [2015-04-07T21:53:38.515707 #38164]  INFO -- default-centos65: Preparing files for transfer
I, [2015-04-07T21:53:38.515809 #38164]  INFO -- default-centos65: Preparing dna.json
I, [2015-04-07T21:53:38.516241 #38164]  INFO -- default-centos65: Resolving cookbook dependencies with Berkshelf 3.2.3...
I, [2015-04-07T21:53:38.611516 #38164]  INFO -- default-centos65: Removing non-cookbook files before transfer
I, [2015-04-07T21:53:38.615120 #38164]  INFO -- default-centos65: Preparing validation.pem
I, [2015-04-07T21:53:38.616207 #38164]  INFO -- default-centos65: Preparing client.rb
I, [2015-04-07T21:53:38.668086 #38164]  INFO -- default-centos65: -----> Chef Omnibus installation detected (install only if missing)
I, [2015-04-07T21:53:38.687809 #38164]  INFO -- default-centos65: Transferring files to <default-centos65>
I, [2015-04-07T21:53:39.789334 #38164]  INFO -- default-centos65: Starting Chef Client, version 12.2.1
I, [2015-04-07T21:53:40.990141 #38164]  INFO -- default-centos65: [2015-04-07T19:53:39+00:00] WARN: Child with name 'dna.json' found in multiple directories: /tmp/kitchen/dna.json and /tmp/kitchen/dna.json
I, [2015-04-07T21:53:41.025682 #38164]  INFO -- default-centos65: resolving cookbooks for run list: ["apache-test::default"]
I, [2015-04-07T21:53:41.059748 #38164]  INFO -- default-centos65: Synchronizing Cookbooks:
I, [2015-04-07T21:53:41.099373 #38164]  INFO -- default-centos65:   - apache-test
I, [2015-04-07T21:53:41.101802 #38164]  INFO -- default-centos65: Compiling Cookbooks...
I, [2015-04-07T21:53:41.104084 #38164]  INFO -- default-centos65: 
I, [2015-04-07T21:53:41.104151 #38164]  INFO -- default-centos65: ================================================================================
I, [2015-04-07T21:53:41.104180 #38164]  INFO -- default-centos65: Recipe Compile Error in /tmp/kitchen/cache/cookbooks/apache-test/attributes/default.rb
I, [2015-04-07T21:53:41.104204 #38164]  INFO -- default-centos65: ================================================================================
I, [2015-04-07T21:53:41.104228 #38164]  INFO -- default-centos65: 
I, [2015-04-07T21:53:41.104251 #38164]  INFO -- default-centos65: TypeError
I, [2015-04-07T21:53:41.104274 #38164]  INFO -- default-centos65: ---------
I, [2015-04-07T21:53:41.104297 #38164]  INFO -- default-centos65: no implicit conversion of String into Integer
I, [2015-04-07T21:53:41.104319 #38164]  INFO -- default-centos65: 
I, [2015-04-07T21:53:41.104342 #38164]  INFO -- default-centos65: Cookbook Trace:
I, [2015-04-07T21:53:41.104364 #38164]  INFO -- default-centos65: ---------------
I, [2015-04-07T21:53:41.104387 #38164]  INFO -- default-centos65:   /tmp/kitchen/cache/cookbooks/apache-test/attributes/default.rb:1:in `[]='
I, [2015-04-07T21:53:41.104412 #38164]  INFO -- default-centos65:   /tmp/kitchen/cache/cookbooks/apache-test/attributes/default.rb:1:in `from_file'
I, [2015-04-07T21:53:41.104435 #38164]  INFO -- default-centos65: 
I, [2015-04-07T21:53:41.104458 #38164]  INFO -- default-centos65: Relevant File Content:
I, [2015-04-07T21:53:41.104480 #38164]  INFO -- default-centos65: ----------------------
I, [2015-04-07T21:53:41.104503 #38164]  INFO -- default-centos65: /tmp/kitchen/cache/cookbooks/apache-test/attributes/default.rb:
I, [2015-04-07T21:53:41.104527 #38164]  INFO -- default-centos65: 
I, [2015-04-07T21:53:41.104576 #38164]  INFO -- default-centos65:   1>> ["apache-test"]["page-text"] = "Automation for the People"  2:  
I, [2015-04-07T21:53:41.104600 #38164]  INFO -- default-centos65: 
I, [2015-04-07T21:53:41.105379 #38164]  INFO -- default-centos65: 
I, [2015-04-07T21:53:41.105426 #38164]  INFO -- default-centos65: Running handlers:
I, [2015-04-07T21:53:41.105450 #38164]  INFO -- default-centos65: [2015-04-07T19:53:39+00:00] ERROR: Running exception handlers
I, [2015-04-07T21:53:41.105474 #38164]  INFO -- default-centos65: Running handlers complete
I, [2015-04-07T21:53:41.105497 #38164]  INFO -- default-centos65: [2015-04-07T19:53:39+00:00] ERROR: Exception handlers complete
I, [2015-04-07T21:53:41.106103 #38164]  INFO -- default-centos65: [2015-04-07T19:53:39+00:00] FATAL: Stacktrace dumped to /tmp/kitchen/cache/chef-stacktrace.out
I, [2015-04-07T21:53:41.106155 #38164]  INFO -- default-centos65: Chef Client failed. 0 resources updated in 1.322998009 seconds
I, [2015-04-07T21:53:41.144405 #38164]  INFO -- default-centos65: [2015-04-07T19:53:39+00:00] ERROR: no implicit conversion of String into Integer
I, [2015-04-07T21:53:43.084381 #38164]  INFO -- default-centos65: [2015-04-07T19:53:41+00:00] FATAL: Chef::Exceptions::ChildConvergeError: Chef run process exited unsuccessfully (exit code 1)
E, [2015-04-07T21:53:43.135355 #38164] ERROR -- default-centos65: Converge failed on instance <default-centos65>.
E, [2015-04-07T21:53:43.135489 #38164] ERROR -- default-centos65: ------Exception-------
